,Overall rank,Country,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity importance,Perceptions of corruption
2,3,Denmark,7.555,1.351,1.590,0.868,0.683,0.284,0.408
5,6,Netherlands,7.441,1.361,1.488,0.878,0.638,0.333,0.295
8,9,Sweden,7.314,1.355,1.501,0.913,0.659,0.285,0.383
11,12,Austria,7.139,1.341,1.504,0.891,0.617,0.242,0.224
15,16,Belgium,6.927,1.324,1.483,0.894,0.583,0.188,0.240
22,23,France,6.489,1.293,1.466,0.908,0.520,0.098,0.176
35,36,Spain,6.310,1.251,1.538,0.965,0.449,0.142,0.074
41,42,Poland,6.123,1.176,1.448,0.781,0.546,0.108,0.064
46,47,Italy,6.000,1.264,1.501,0.946,0.281,0.137,0.028
78,79,Greece,5.358,1.154,1.202,0.879,0.131,0.000,0.044
